Cell,neighbors
1,2;3;5;6;
2,1;3;5;
3,1;2;6;
4,5;6;8;9;
5,1;2;4;6;8;
6,1;3;4;5;9;
7,8;9;11;12;
8,4;5;7;9;11;
9,4;6;7;8;12;
10,7;11;12;
11,7;8;10;12;
12,7;9;10;11;
