Cell,neighbors
1,153;366;464;500;
2,139;153;366;
3,139;464;500;
4,11;147;366;464;
5,11;139;316;464;500;
6,139;147;153;316;366;
7,11;147;278;351;
8,147;316;351;366;379;
9,11;278;316;379;464;
10,278;351;379;
11,11;260;278;379;
12,147;260;351;379;
