Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;
4,5;6;8;9;21;
5,1;4;6;18;21;
6,1;4;
7,8;9;11;12;24;
8,7;9;24;
9,4;7;8;
10,12;27;
11,7;10;12;22;24;27;
12,7;10;11;
13,2;14;15;17;
14,13;15;
15,2;
16,17;18;21;
17,13;16;18;28;30;33;
18,1;2;5;13;16;17;
19,20;21;23;
20,16;19;21;31;
21,8;16;19;20;
22,11;23;24;26;27;39;
23,22;24;36;
24,7;11;19;22;23;
25,26;27;
26,25;27;37;39;
27,10;11;22;25;26;
28,17;29;30;33;
29,28;30;40;42;45;
30,13;14;28;29;
31,32;33;35;48;
32,31;33;43;
33,16;20;31;32;
34,23;35;36;38;51;
35,34;36;
36,23;34;35;
37,26;38;39;54;
38,34;37;39;49;54;
39,22;23;26;34;37;38;
40,41;42;44;45;57;
41,40;42;57;
42,29;40;41;
43,44;45;47;48;60;
44,40;43;45;57;60;
45,29;32;40;43;44;
46,47;48;50;
47,43;46;48;58;60;
48,32;46;47;
49,38;50;51;53;54;
50,46;49;51;
51,34;35;38;49;50;
52,53;54;
53,49;52;54;
54,37;38;49;52;53;
55,44;56;57;59;60;
56,55;57;
57,40;41;44;55;56;
58,47;59;
59,55;58;60;
60,43;44;47;55;58;59;
