Cell,neighbors
1,119;257;294;449;459;
2,119;169;257;395;463;
3,294;463;
4,168;206;349;449;459;
5,265;349;449;463;
6,265;459;463;
7,168;206;444;473;502;
8,168;265;349;382;462;502;
9,206;265;382;
10,86;370;444;473;
11,181;209;370;382;473;502;
12,181;382;
13,119;150;294;395;402;
14,169;211;395;
15,150;169;257;294;
16,119;322;349;402;459;
17,169;211;404;494;
18,169;294;402;404;459;463;
19,161;206;230;349;502;
20,349;404;
21,230;265;404;459;462;
22,37;161;370;502;
23,37;146;209;502;
24,161;206;209;382;444;462;
25,180;181;370;
26,37;86;209;362;370;
27,86;180;181;209;444;
28,211;234;348;402;
29,142;211;467;494;496;
30,150;234;402;494;
31,97;230;322;348;453;
32,278;322;422;496;
33,230;278;348;
34,37;97;189;471;
35,140;146;189;278;453;
36,97;146;161;278;
37,37;180;471;
38,37;146;362;
39,146;161;180;209;362;471;
40,48;142;234;438;496;
41,142;467;
42,48;234;467;
43,334;348;438;453;496;
44,422;467;496;
45,234;348;422;438;494;
46,97;334;453;
47,140;422;453;
48,97;140;278;334;348;422;
