Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;6;15;
4,5;6;8;9;21;
5,1;4;6;16;18;21;
6,1;3;4;5;
7,8;9;11;12;24;
8,4;7;9;19;21;24;
9,4;7;8;12;
10,11;12;22;
11,7;10;12;22;24;
12,7;9;10;11;
13,2;14;15;17;18;
14,13;15;17;
15,2;3;13;14;
16,5;17;18;20;21;
17,13;14;16;18;20;
18,1;2;5;13;16;17;
19,8;20;21;23;24;
20,16;17;19;21;
21,4;5;8;16;19;20;
22,10;11;23;24;
23,19;20;22;24;
24,7;8;11;19;22;23;
