cellid , 12,TargetCellId , 7
cellid , 19,TargetCellId , 23
cellid , 19,TargetCellId , 23
cellid , 23,TargetCellId , 22
cellid , 13,TargetCellId , 15
cellid , 19,TargetCellId , 21
cellid , 17,TargetCellId , 13
cellid , 18,TargetCellId , 2
cellid , 11,TargetCellId , 12
cellid , 6,TargetCellId , 4
cellid , 13,TargetCellId , 2
cellid , 24,TargetCellId , 8
cellid , 23,TargetCellId , 22
cellid , 13,TargetCellId , 17
cellid , 10,TargetCellId , 12
cellid , 3,TargetCellId , 2
cellid , 11,TargetCellId , 22
cellid , 23,TargetCellId , 22
cellid , 7,TargetCellId , 8
cellid , 14,TargetCellId , 13
cellid , 5,TargetCellId , 4
cellid , 4,TargetCellId , 9
cellid , 13,TargetCellId , 14
cellid , 11,TargetCellId , 12
cellid , 14,TargetCellId , 15
cellid , 22,TargetCellId , 24
cellid , 15,TargetCellId , 2
cellid , 17,TargetCellId , 13
