Cell,neighbors
1,129;167;187;344;
2,167;326;334;346;441;
3,129;441;
4,113;187;344;382;
5,90;187;346;441;
6,90;344;441;
7,53;113;209;382;391;
8,90;113;150;
9,90;150;382;
10,53;391;410;
11,53;150;209;372;410;
12,150;372;
13,123;129;334;346;
14,214;334;
15,123;129;326;
16,125;346;
17,268;294;346;
18,125;129;294;441;
19,42;153;287;
20,42;211;
21,211;287;344;382;
22,153;209;391;410;458;
23,209;211;358;
24,153;358;391;
25,50;410;
26,79;410;453;
27,50;358;372;391;453;
28,143;214;
29,214;246;318;
30,123;143;318;
31,268;281;
32,93;268;
33,93;281;287;
34,247;332;458;
35,180;332;
36,153;180;247;
37,50;135;353;458;
38,79;458;
39,79;135;
40,98;246;
41,241;246;450;
42,98;143;
43,34;278;
44,34;174;241;450;
45,174;241;278;318;
46,103;161;
47,161;470;486;
48,103;486;
49,171;419;477;
50,64;419;
51,64;171;
52,353;477;
53,64;73;313;353;
54,64;79;135;313;477;
55,302;450;
56,181;422;450;483;
57,98;181;241;302;
58,402;495;
59,19;
60,19;495;
61,200;232;470;
62,342;470;
63,232;342;
64,132;200;432;477;
65,73;132;381;
66,73;200;
67,266;302;483;
68,43;483;
69,43;257;
70,72;422;
71,43;154;223;422;
72,43;72;154;181;
73,7;368;413;
74,63;111;413;468;
75,7;63;495;
76,10;200;349;368;443;
77,368;381;
78,349;381;
79,10;432;
80,381;426;432;443;455;
81,10;73;455;
82,18;72;266;416;
83,164;223;490;
84,18;43;72;223;
85,238;416;468;
86,111;223;468;
87,7;72;111;154;223;416;
88,238;365;443;
89,111;252;365;
90,7;111;238;252;
91,10;443;487;
92,426;443;
93,10;252;349;381;426;487;
94,18;164;438;
95,164;490;
96,18;438;490;
