Cell,neighbors
1,132;146;242;357;387;
2,4;146;205;242;254;
3,132;205;357;
4,35;132;234;387;467;
5,132;146;178;205;467;
6,178;205;387;
7,35;114;234;297;310;
8,120;178;234;310;331;
9,35;178;331;
10,114;141;297;388;
11,284;297;310;331;388;485;
12,114;331;485;
13,146;213;254;357;411;461;
14,4;254;298;461;
15,4;213;357;
16,146;387;411;467;
17,4;146;194;313;340;461;
18,4;205;313;357;387;411;
19,35;310;402;439;467;
20,194;415;439;467;
21,35;120;178;313;387;402;
22,77;114;121;310;388;435;
23,120;121;284;310;491;
24,35;114;120;284;331;435;
25,77;246;388;485;
26,121;141;246;284;388;
27,77;114;141;284;485;
28,194;375;398;411;461;
29,298;340;366;461;
30,4;213;340;398;411;
31,27;194;375;402;439;
32,194;415;
33,313;340;375;402;411;415;
34,27;55;121;439;
35,415;439;491;
36,27;120;402;415;491;
37,55;77;121;
38,121;246;491;
39,55;77;246;284;435;491;
40,298;398;413;
41,298;366;
42,213;366;398;413;
