Cell,neighbors
1,19;318;324;356;412;
2,25;356;395;412;464;
3,19;25;318;395;
4,19;289;324;417;502;
5,19;149;289;299;395;412;
6,149;324;356;395;
7,33;55;417;458;502;
8,55;149;266;289;398;502;
9,149;266;417;458;
10,33;341;458;
11,55;262;266;341;458;
12,33;262;266;502;
13,25;46;228;318;412;
14,25;46;464;
15,228;318;356;464;
16,46;289;324;412;444;
17,228;299;412;444;464;
18,46;299;318;324;395;464;
19,55;255;289;417;444;
20,46;289;299;398;
21,149;299;324;398;417;444;
22,33;55;255;262;
23,55;341;398;
24,33;255;266;341;398;417;
