Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;6;15;
4,5;6;8;9;
5,1;4;6;16;18;
6,1;3;4;5;9;
7,8;9;11;12;
8,4;7;9;11;16;
9,4;6;7;8;12;
10,11;12;
11,7;8;10;12;
12,7;9;10;11;
13,2;14;15;17;18;
14,13;15;17;
15,2;3;13;14;
16,5;8;17;18;
17,13;14;16;18;
18,1;2;5;13;16;17;
