cellid , 2,TargetCellId , 3
cellid , 13,TargetCellId , 17
cellid , 6,TargetCellId , 5
cellid , 7,TargetCellId , 8
cellid , 5,TargetCellId , 18
cellid , 7,TargetCellId , 11
cellid , 13,TargetCellId , 15
cellid , 4,TargetCellId , 6
cellid , 7,TargetCellId , 9
cellid , 2,TargetCellId , 3
cellid , 5,TargetCellId , 16
cellid , 14,TargetCellId , 15
cellid , 12,TargetCellId , 11
cellid , 11,TargetCellId , 10
cellid , 11,TargetCellId , 10
cellid , 7,TargetCellId , 8
cellid , 15,TargetCellId , 3
cellid , 17,TargetCellId , 18
cellid , 3,TargetCellId , 15
cellid , 9,TargetCellId , 12
cellid , 5,TargetCellId , 16
cellid , 16,TargetCellId , 5
cellid , 17,TargetCellId , 13
cellid , 8,TargetCellId , 4
cellid , 17,TargetCellId , 13
cellid , 5,TargetCellId , 6
