Cell,neighbors
1,1;22;27;363;393;
2,10;22;434;452;
3,393;452;
4,1;27;151;366;396;
5,27;200;363;452;
6,1;200;452;
7,151;166;243;366;408;
8,116;200;366;396;443;
9,151;200;443;
10,166;227;243;
11,186;227;243;319;408;443;
12,166;186;443;
13,120;363;393;434;458;
14,10;120;434;
15,10;393;458;
16,1;113;209;354;363;396;
17,94;113;120;363;
18,1;10;94;209;393;452;
19,39;221;354;396;408;
20,94;116;157;396;
21,1;94;116;151;354;
22,15;213;221;227;408;
23,39;319;408;
24,116;151;166;221;319;
25,15;227;
26,227;310;319;
27,15;166;186;319;331;
28,72;113;120;209;431;
29,45;72;120;322;340;
30,10;209;340;431;
31,113;239;285;306;
32,88;113;157;340;
33,157;209;306;
34,39;213;221;239;282;503;
35,39;142;282;285;
36,116;142;221;239;
37,15;183;213;503;
38,133;142;183;213;282;310;
39,15;221;310;319;503;
40,45;72;302;317;431;
41,45;322;
42,302;322;431;
43,72;285;306;317;497;
44,72;88;322;
45,88;306;340;431;
46,239;282;285;446;497;
47,82;88;285;
48,82;88;157;239;306;497;
49,170;183;282;446;503;
50,82;133;282;
51,82;133;142;239;446;503;
52,170;183;
53,133;163;183;
54,133;163;170;503;
