Cell,neighbors
1,10;57;84;96;184;
2,72;84;96;320;419;
3,10;419;
4,57;90;184;364;469;
5,57;62;96;233;364;419;
6,62;184;419;
7,90;314;408;456;469;
8,62;247;353;364;408;469;
9,62;90;247;
10,312;314;444;456;
11,244;247;312;336;408;456;
12,244;247;314;
13,10;72;85;96;423;502;
14,40;72;320;423;
15,10;320;502;
16,85;96;184;243;292;364;
17,96;233;292;320;423;479;
18,10;85;184;233;320;419;
19,90;213;243;364;408;499;
20,213;292;353;364;482;
21,62;90;184;233;243;353;
22,137;312;314;408;499;
23,213;336;338;353;408;
24,90;247;314;336;353;499;
25,137;244;312;
26,312;336;444;
27,137;244;314;336;444;
28,40;85;165;292;423;
29,165;423;479;502;
30,40;85;320;479;502;
31,19;165;213;243;292;
32,40;292;479;482;
33,85;165;233;243;479;482;
34,19;213;499;
35,213;338;482;
36,19;243;338;353;482;499;
