Cell,neighbors
1,59;185;222;253;450;
2,67;222;244;363;450;
3,59;67;185;244;
4,1;74;185;253;
5,48;67;185;417;450;
6,1;67;222;253;417;
7,1;74;284;451;
8,1;48;150;417;451;
9,74;150;185;284;417;
10,284;451;
11,74;150;284;444;
12,1;150;444;451;
13,59;152;244;450;484;
14,244;363;484;
15,59;152;222;363;
16,74;253;450;484;
17,48;152;363;450;
18,48;59;67;253;363;484;
