Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;
4,5;6;8;9;21;
5,1;4;6;16;18;21;
6,1;4;5;
7,8;9;11;12;24;
8,4;7;9;19;21;24;
9,4;7;8;
10,11;12;25;27;
11,7;10;12;22;24;27;
12,7;10;11;
13,2;14;15;17;18;30;
14,13;15;29;30;
15,2;13;14;
16,5;17;18;20;21;33;
17,13;16;18;28;30;33;
18,2;5;13;16;17;
19,8;20;21;23;24;36;
20,16;19;21;31;33;36;
21,4;5;8;16;19;20;
22,11;23;24;26;27;
23,19;22;24;34;36;
24,7;8;11;22;23;
25,10;26;27;
26,22;25;27;
27,10;11;22;25;26;
28,17;29;30;32;33;
29,14;28;30;
30,13;14;17;28;29;
31,20;32;33;35;36;
32,28;31;33;
33,17;20;28;31;32;
34,23;35;36;
35,31;34;36;
36,19;20;23;31;34;35;
