cellid , 47,TargetCellId , 48
cellid , 13,TargetCellId , 15
cellid , 6,TargetCellId , 4
cellid , 46,TargetCellId , 47
cellid , 10,TargetCellId , 11
cellid , 1,TargetCellId , 2
cellid , 37,TargetCellId , 38
cellid , 25,TargetCellId , 26
cellid , 42,TargetCellId , 41
cellid , 40,TargetCellId , 41
cellid , 14,TargetCellId , 15
