Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;18;
3,1;2;
4,5;6;8;9;21;
5,1;4;6;16;21;
6,1;4;5;
7,8;9;11;12;24;
8,4;7;9;19;21;24;
9,4;7;8;
10,11;12;27;
11,7;10;12;22;24;27;
12,7;10;
13,2;14;15;17;18;30;
14,13;15;30;
15,2;13;14;
16,5;17;18;21;33;
17,13;16;28;30;
18,1;2;5;13;16;17;
19,8;20;21;23;24;
20,16;21;36;
21,4;5;8;16;19;20;
22,23;24;27;39;
23,22;24;34;39;
24,7;8;11;19;22;23;
25,26;27;
26,22;25;27;37;39;
27,10;11;22;25;26;
28,17;29;30;32;33;
29,28;30;40;42;45;
30,14;28;29;
31,20;32;33;35;48;
32,31;33;43;45;
33,17;20;31;32;
34,35;36;38;39;
35,31;34;36;46;48;
36,23;31;34;35;
37,26;38;39;
38,34;37;39;
39,22;23;26;34;37;38;
40,29;41;42;44;45;
41,40;42;
42,29;40;41;
43,32;44;45;47;48;
44,40;43;45;
45,28;32;43;44;
46,35;47;48;
47,43;46;48;
48,31;32;35;43;46;47;
